Imiê	Nazwisko	Ulica	Numer	RoleId	Firma	Miasto	Telefon	Email	Kod	Password	Concat								Firma 
Longin	Witek	Batorego	22	2	GK Brenntag Polska	Koby³ka	558482271	Longin.Witek@tlen.pl	15-323	Witek	(2,'Longin','Witek','GK Brenntag Polska','Batorego','Koby³ka','15-323','558482271','Longin.Witek@tlen.pl','Witek'),	'	,						GK Brenntag Polska
Bartosz	Niewiadomski	Jagie³³y	41	2	Orlen Asfalt Sp. z o.o.	Konstancin-Jeziorna	510360193	Bartosz.Niewiadomski@gmail.com	15-654	Niewiadomski	(2,'Bartosz','Niewiadomski','Orlen Asfalt Sp. z o.o.','Jagie³³y','Konstancin-Jeziorna','15-654','510360193','Bartosz.Niewiadomski@gmail.com','Niewiadomski'),	'	,						Orlen Asfalt Sp. z o.o.
Wilhelm	Staniszewski	£okietka	41	1		Kozienice	555140140	Wilhelm.Staniszewski@poczta.fm	15-910	Staniszewski	(1,'Wilhelm','Staniszewski','','£okietka','Kozienice','15-910','555140140','Wilhelm.Staniszewski@poczta.fm','Staniszewski'),	'	,						GK Pfleiderer Grajewo SA
Ferdynand	Bednarz	Krótka	49	1		Legionowo	555561581	Ferdynand.Bednarz@gazeta.pl	15-245	Bednarz	(1,'Ferdynand','Bednarz','','Krótka','Legionowo','15-245','555561581','Ferdynand.Bednarz@gazeta.pl','Bednarz'),	'	,						Sobieski Sp. z o.o.
Erwin	Lech	Krucza	193	2	Mota-Engil Central Europe SA	£omianki	567451531	Erwin.Lech@go2.pl	15-330	Lech	(2,'Erwin','Lech','Mota-Engil Central Europe SA','Krucza','£omianki','15-330','567451531','Erwin.Lech@go2.pl','Lech'),	'	,						Mota-Engil Central Europe SA
Klemens	Rudnicki	Kruszcowa	143	2	Man Trucks Sp. z o.o.	Maków Mazowiecki	569370315	Klemens.Rudnicki@yahoo.com	15-334	Rudnicki	(2,'Klemens','Rudnicki','Man Trucks Sp. z o.o.','Kruszcowa','Maków Mazowiecki','15-334','569370315','Klemens.Rudnicki@yahoo.com','Rudnicki'),	'	,						Man Trucks Sp. z o.o.
Lechos³aw	Kulesza	Kryszta³owa	70	2	GK Rovese SA	Marki	505597545	Lechos³aw.Kulesza@hotmail.com	15-262	Kulesza	(2,'Lechos³aw','Kulesza','GK Rovese SA','Kryszta³owa','Marki','15-262','505597545','Lechos³aw.Kulesza@hotmail.com','Kulesza'),	'	,						GK Rovese SA
Ernest	Pi¹tkowski	Krzemionkowa	90	1		Milanówek	525542118	Ernest.Pi¹tkowski@vp.pl	15-841	Pi¹tkowski	(1,'Ernest','Pi¹tkowski','','Krzemionkowa','Milanówek','15-841','525542118','Ernest.Pi¹tkowski@vp.pl','Pi¹tkowski'),	'	,						Grupa Polskie Sk³ady Budowlane SA
Stanis³aw	Turek	Krzywa	39	1		Miñsk Mazowiecki	507259469	Stanis³aw.Turek@wp.pl	15-814	Turek	(1,'Stanis³aw','Turek','','Krzywa','Miñsk Mazowiecki','15-814','507259469','Stanis³aw.Turek@wp.pl','Turek'),	'	,						Operator Gazoci¹gów Przesy³owych Gaz-System SA
Andrzej	Chmiel	Druckiego-Lubeckiego	196	1		Nasielsk	559397393	Andrzej.Chmiel@poczta.onet.pl	15-818	Chmiel	(1,'Andrzej','Chmiel','','Druckiego-Lubeckiego','Nasielsk','15-818','559397393','Andrzej.Chmiel@poczta.onet.pl','Chmiel'),	'	,						GK Black Red White SA
Józef	Biernacki	Poniatowskiego	186	2	Siemens Sp. z o.o.	Nowy Dwór Mazowiecki	577499553	Józef.Biernacki@o2.pl	15-506	Biernacki	(2,'Józef','Biernacki','Siemens Sp. z o.o.','Poniatowskiego','Nowy Dwór Mazowiecki','15-506','577499553','Józef.Biernacki@o2.pl','Biernacki'),	'	,						Siemens Sp. z o.o.
Tadeusz	Sowiñski	Mieszka I	156	1		Ostro³êka	520266235	Tadeusz.Sowiñski@interia.pl	15-458	Sowiñski	(1,'Tadeusz','Sowiñski','','Mieszka I','Ostro³êka','15-458','520266235','Tadeusz.Sowiñski@interia.pl','Sowiñski'),	'	,						GK TVN SA
Jerzy	Skrzypczak	¯ra³ka	170	1		Otwock	573260208	Jerzy.Skrzypczak@op.pl	15-324	Skrzypczak	(1,'Jerzy','Skrzypczak','','¯ra³ka','Otwock','15-324','573260208','Jerzy.Skrzypczak@op.pl','Skrzypczak'),	'	,						Grupa Kêty SA
Zbigniew	Podgórski	Kordeckiego	145	1		Piaseczno	514440311	Zbigniew.Podgórski@tlen.pl	15-962	Podgórski	(1,'Zbigniew','Podgórski','','Kordeckiego','Piaseczno','15-962','514440311','Zbigniew.Podgórski@tlen.pl','Podgórski'),	'	,						GK Amica Wronki SA
Krzysztof	Cichoñ	Piramowicza	42	1		Pionki	599536587	Krzysztof.Cichoñ@gmail.com	15-383	Cichoñ	(1,'Krzysztof','Cichoñ','','Piramowicza','Pionki','15-383','599536587','Krzysztof.Cichoñ@gmail.com','Cichoñ'),	'	,						Imperial Tobacco Polska Manufacturing SA
Henryk	Rosiñski	Ko³³¹taja	143	1		P³ock	508300551	Henryk.Rosiñski@poczta.fm	15-903	Rosiñski	(1,'Henryk','Rosiñski','','Ko³³¹taja','P³ock','15-903','508300551','Henryk.Rosiñski@poczta.fm','Rosiñski'),	'	,						Mars Polska Sp. z o.o.
Ryszard	Karczewski	Skorupki	125	2	Robert Bosch Sp. z o.o.	P³oñsk	548176518	Ryszard.Karczewski@gazeta.pl	15-814	Karczewski	(2,'Ryszard','Karczewski','Robert Bosch Sp. z o.o.','Skorupki','P³oñsk','15-814','548176518','Ryszard.Karczewski@gazeta.pl','Karczewski'),	'	,						Robert Bosch Sp. z o.o.
Kazimierz	¯urek	Kopernika	40	2	GK Alma Market SA	Pruszków	502157365	Kazimierz.¯urek@go2.pl	15-598	¯urek	(2,'Kazimierz','¯urek','GK Alma Market SA','Kopernika','Pruszków','15-598','502157365','Kazimierz.¯urek@go2.pl','¯urek'),	'	,						GK Alma Market SA
Marek	Drozd	Œciegiennego	155	1		Przasnysz	503444231	Marek.Drozd@yahoo.com	15-896	Drozd	(1,'Marek','Drozd','','Œciegiennego','Przasnysz','15-896','503444231','Marek.Drozd@yahoo.com','Drozd'),	'	,						Danone Sp. z o.o.
Marian	¯urawski	Konarskiego	42	1		Przysucha	574333171	Marian.¯urawski@hotmail.com	15-921	¯urawski	(1,'Marian','¯urawski','','Konarskiego','Przysucha','15-921','574333171','Marian.¯urawski@hotmail.com','¯urawski'),	'	,						Petrolot Sp. z o.o.
Piotr	Pietrzyk	Staszica	8	2	Zak³ady Farmaceutyczne Polpharma SA	Pu³tusk	565370307	Piotr.Pietrzyk@vp.pl	15-983	Pietrzyk	(2,'Piotr','Pietrzyk','Zak³ady Farmaceutyczne Polpharma SA','Staszica','Pu³tusk','15-983','565370307','Piotr.Pietrzyk@vp.pl','Pietrzyk'),	'	,						Zak³ady Farmaceutyczne Polpharma SA
Janusz	Komorowski	D¹brówki	165	1		Radom	579441388	Janusz.Komorowski@wp.pl	15-756	Komorowski	(1,'Janusz','Komorowski','','D¹brówki','Radom','15-756','579441388','Janusz.Komorowski@wp.pl','Komorowski'),	'	,						Pojazdy Szynowe PESA Bydgoszcz SA
W³adys³aw	Antczak	Kujawska	65	1		Radzymin	548195585	W³adys³aw.Antczak@poczta.onet.pl	15-907	Antczak	(1,'W³adys³aw','Antczak','','Kujawska','Radzymin','15-907','548195585','W³adys³aw.Antczak@poczta.onet.pl','Antczak'),	'	,						GK Rafineria Trzebinia SA
Adam	Go³êbiewski	Kutnowska	5	1		Gubin	502135117	Adam.Go³êbiewski@o2.pl	15-753	Go³êbiewski	(1,'Adam','Go³êbiewski','','Kutnowska','Gubin','15-753','502135117','Adam.Go³êbiewski@o2.pl','Go³êbiewski'),	'	,						Louis Dreyfus Commodities Polska Sp. z o.o.
Wies³aw	Góra	KuŸników	34	2	Grupa Famur SA	Drezdenko	508235523	Wies³aw.Góra@interia.pl	15-477	Góra	(2,'Wies³aw','Góra','Grupa Famur SA','KuŸników','Drezdenko','15-477','508235523','Wies³aw.Góra@interia.pl','Góra'),	'	,						Grupa Famur SA
Zdzis³aw	Banach	Kwarciana	148	2	UPC Polska Sp. z o.o.	Gorzów Wielkopolski	519438350	Zdzis³aw.Banach@op.pl	15-456	Banach	(2,'Zdzis³aw','Banach','UPC Polska Sp. z o.o.','Kwarciana','Gorzów Wielkopolski','15-456','519438350','Zdzis³aw.Banach@op.pl','Banach'),	'	,						UPC Polska Sp. z o.o.
Edward	Filipiak	Kwarcytowa	94	1		Gubin	596301435	Edward.Filipiak@tlen.pl	15-805	Filipiak	(1,'Edward','Filipiak','','Kwarcytowa','Gubin','15-805','596301435','Edward.Filipiak@tlen.pl','Filipiak'),	'	,						Cefetra Polska Sp. z o.o.
Mieczys³aw	Grochowski	Laskowa	71	1		Kostrzyn nad Odr¹	503342233	Mieczys³aw.Grochowski@gmail.com	15-635	Grochowski	(1,'Mieczys³aw','Grochowski','','Laskowa','Kostrzyn nad Odr¹','15-635','503342233','Mieczys³aw.Grochowski@gmail.com','Grochowski'),	'	,						GK Impel SA
Roman	Krzy¿anowski	Lecha	16	2	Bayer Sp. z o.o.	Krosno Odrzañskie	578447188	Roman.Krzy¿anowski@poczta.fm	15-768	Krzy¿anowski	(2,'Roman','Krzy¿anowski','Bayer Sp. z o.o.','Lecha','Krosno Odrzañskie','15-768','578447188','Roman.Krzy¿anowski@poczta.fm','Krzy¿anowski'),	'	,						Bayer Sp. z o.o.
Miros³aw	Graczyk	Legnicka	162	2	GK Cognor SA	Lubsko	555469400	Miros³aw.Graczyk@gazeta.pl	15-870	Graczyk	(2,'Miros³aw','Graczyk','GK Cognor SA','Legnicka','Lubsko','15-870','555469400','Miros³aw.Graczyk@gazeta.pl','Graczyk'),	'	,						GK Cognor SA
Grzegorz	Przyby³a	Skibiñskiego	38	1		Miêdzyrzecz	526444514	Grzegorz.Przyby³a@go2.pl	15-462	Przyby³a	(1,'Grzegorz','Przyby³a','','Skibiñskiego','Miêdzyrzecz','15-462','526444514','Grzegorz.Przyby³a@go2.pl','Przyby³a'),	'	,						Man Bus Sp. z o.o.
Czes³aw	Gruszka	Staffa	179	2	GK Erbud SA	Nowa Sól	581427132	Czes³aw.Gruszka@yahoo.com	15-770	Gruszka	(2,'Czes³aw','Gruszka','GK Erbud SA','Staffa','Nowa Sól','15-770','581427132','Czes³aw.Gruszka@yahoo.com','Gruszka'),	'	,						GK Erbud SA
Dariusz	Banaœ	Leszczyñska	171	1		Skwierzyna	500595420	Dariusz.Banaœ@hotmail.com	15-503	Banaœ	(1,'Dariusz','Banaœ','','Leszczyñska','Skwierzyna','15-503','500595420','Dariusz.Banaœ@hotmail.com','Banaœ'),	'	,						Okrêgowa Spó³dzielnia Mleczarska w £owiczu
Wojciech	Klimczak	Drogosza	73	2	Wipasz SA	S³ubice	532542318	Wojciech.Klimczak@vp.pl	15-746	Klimczak	(2,'Wojciech','Klimczak','Wipasz SA','Drogosza','S³ubice','15-746','532542318','Wojciech.Klimczak@vp.pl','Klimczak'),	'	,						Wipasz SA
Jacek	Siwek	Leœna	173	1		Strzelce Krajeñskie	521539322	Jacek.Siwek@wp.pl	15-920	Siwek	(1,'Jacek','Siwek','','Leœna','Strzelce Krajeñskie','15-920','521539322','Jacek.Siwek@wp.pl','Siwek'),	'	,						GK Trakcja SA
Eugeniusz	Konieczna	Leœniówka	57	1		Sulechów	573122325	Eugeniusz.Konieczna@poczta.onet.pl	15-937	Konieczna	(1,'Eugeniusz','Konieczna','','Leœniówka','Sulechów','15-937','573122325','Eugeniusz.Konieczna@poczta.onet.pl','Konieczna'),	'	,						Solaris Bus&Coach SA
Tomasz	Serafin	Lisia	70	1		Sulêcin	569515503	Tomasz.Serafin@o2.pl	15-627	Serafin	(1,'Tomasz','Serafin','','Lisia','Sulêcin','15-627','569515503','Tomasz.Serafin@o2.pl','Serafin'),	'	,						Schenker Sp. z o.o.
Stefan	Bieniek	Lisowczyków	79	2	PUH Chemirol Sp. z o.o.	Szprotawa	527401144	Stefan.Bieniek@interia.pl	15-651	Bieniek	(2,'Stefan','Bieniek','PUH Chemirol Sp. z o.o.','Lisowczyków','Szprotawa','15-651','527401144','Stefan.Bieniek@interia.pl','Bieniek'),	'	,						PUH Chemirol Sp. z o.o.
Zygmunt	Godlewski	Litewska	114	2	Hutchinson Poland Sp. z o.o.	Œwiebodzin	592139540	Zygmunt.Godlewski@op.pl	15-304	Godlewski	(2,'Zygmunt','Godlewski','Hutchinson Poland Sp. z o.o.','Litewska','Œwiebodzin','15-304','592139540','Zygmunt.Godlewski@op.pl','Godlewski'),	'	,						Hutchinson Poland Sp. z o.o.
Leszek	Rak	Lotnicza	147	2	GK CCC SA	Wschowa	527103350	Leszek.Rak@tlen.pl	15-608	Rak	(2,'Leszek','Rak','GK CCC SA','Lotnicza','Wschowa','15-608','527103350','Leszek.Rak@tlen.pl','Rak'),	'	,						GK CCC SA
Bogdan	Kulik	Lubelska	61	2	Toyota Motor Industries Poland Sp. z o.o.	Zielona Góra	585248501	Bogdan.Kulik@gmail.com	15-705	Kulik	(2,'Bogdan','Kulik','Toyota Motor Industries Poland Sp. z o.o.','Lubelska','Zielona Góra','15-705','585248501','Bogdan.Kulik@gmail.com','Kulik'),	'	,						Toyota Motor Industries Poland Sp. z o.o.
Antoni	Maækowiak	Lubiczna	188	2	Bridgestone Poznañ Sp. z o.o.	¯agañ	581381124	Antoni.Maækowiak@poczta.fm	15-715	Maækowiak	(2,'Antoni','Maækowiak','Bridgestone Poznañ Sp. z o.o.','Lubiczna','¯agañ','15-715','581381124','Antoni.Maækowiak@poczta.fm','Maækowiak'),	'	,						Bridgestone Poznañ Sp. z o.o.
Pawe³	Zawada	Lubrzanka	87	2	Orlen Oil Sp. z o.o.	Bogatynia	546580397	Pawe³.Zawada@gazeta.pl	15-842	Zawada	(2,'Pawe³','Zawada','Orlen Oil Sp. z o.o.','Lubrzanka','Bogatynia','15-842','546580397','Pawe³.Zawada@gazeta.pl','Zawada'),	'	,						Orlen Oil Sp. z o.o.
Franciszek	Miko³ajczak	Ró¿yckiego	144	1		Bielawa	577210353	Franciszek.Miko³ajczak@go2.pl	15-709	Miko³ajczak	(1,'Franciszek','Miko³ajczak','','Ró¿yckiego','Bielawa','15-709','577210353','Franciszek.Miko³ajczak@go2.pl','Miko³ajczak'),	'	,						Osadkowski SA
S³awomir	Ró¿añski	Solskiego	96	2	Warbud SA	Bierutów	598482463	S³awomir.Ró¿añski@yahoo.com	15-780	Ró¿añski	(2,'S³awomir','Ró¿añski','Warbud SA','Solskiego','Bierutów','15-780','598482463','S³awomir.Ró¿añski@yahoo.com','Ró¿añski'),	'	,						Warbud SA
Waldemar	Cieœla	Zamenhofa	123	1		Bogatynia	519380542	Waldemar.Cieœla@hotmail.com	15-259	Cieœla	(1,'Waldemar','Cieœla','','Zamenhofa','Bogatynia','15-259','519380542','Waldemar.Cieœla@hotmail.com','Cieœla'),	'	,						Konimpex Sp. z o.o.
Jaros³aw	D³ugosz	Wawrzyñskiej	146	1		Boguszów-Gorce	563107460	Jaros³aw.D³ugosz@vp.pl	15-507	D³ugosz	(1,'Jaros³aw','D³ugosz','','Wawrzyñskiej','Boguszów-Gorce','15-507','563107460','Jaros³aw.D³ugosz@vp.pl','D³ugosz'),	'	,						Grupa NSG w Polsce (Pilkington)
Robert	Œliwa	£agowska	100	1		Boles³awiec	542229570	Robert.Œliwa@wp.pl	15-949	Œliwa	(1,'Robert','Œliwa','','£agowska','Boles³awiec','15-949','542229570','Robert.Œliwa@wp.pl','Œliwa'),	'	,						GK Energa SA
Mariusz	Ptak	£anowa	49	1		Bolków	532268527	Mariusz.Ptak@poczta.onet.pl	15-248	Ptak	(1,'Mariusz','Ptak','','£anowa','Bolków','15-248','532268527','Mariusz.Ptak@poczta.onet.pl','Ptak'),	'	,						GK Grupy Lotos SA
W³odzimierz	Strzelecki	£azy	131	1		Brzeg Dolny	560497560	W³odzimierz.Strzelecki@o2.pl	15-585	Strzelecki	(1,'W³odzimierz','Strzelecki','','£azy','Brzeg Dolny','15-585','560497560','W³odzimierz.Strzelecki@o2.pl','Strzelecki'),	'	,						PGE Polska Grupa Energetyczna SA
Micha³	Zarzycki	£¹kowa	80	2	Jeronimo Martins Polska SA	Bystrzyca K³odzka	537394449	Micha³.Zarzycki@interia.pl	15-964	Zarzycki	(2,'Micha³','Zarzycki','Jeronimo Martins Polska SA','£¹kowa','Bystrzyca K³odzka','15-964','537394449','Micha³.Zarzycki@interia.pl','Zarzycki'),	'	,						Jeronimo Martins Polska SA
Zenon	Mielczarek	£opianowa	27	2	GK PGNiG SA	Chocianów	576275371	Zenon.Mielczarek@op.pl	15-918	Mielczarek	(2,'Zenon','Mielczarek','GK PGNiG SA','£opianowa','Chocianów','15-918','576275371','Zenon.Mielczarek@op.pl','Mielczarek'),	'	,						GK PGNiG SA
Bogus³aw	K³os	£opuszniañska	14	1		Chojnów	514237380	Bogus³aw.K³os@tlen.pl	15-936	K³os	(1,'Bogus³aw','K³os','','£opuszniañska','Chojnów','15-936','514237380','Bogus³aw.K³os@tlen.pl','K³os'),	'	,						GK Tauron Polska Energia SA
Witold	Bartkowiak	£otewska	180	1		D³ugo³êka	569166146	Witold.Bartkowiak@gmail.com	15-565	Bartkowiak	(1,'Witold','Bartkowiak','','£otewska','D³ugo³êka','15-565','569166146','Witold.Bartkowiak@gmail.com','Bartkowiak'),	'	,						KGHM Polska MiedŸ SA
Aleksander	Leœniewski	£ódzka	11	1		Duszniki-Zdrój	595287556	Aleksander.Leœniewski@poczta.fm	15-648	Leœniewski	(1,'Aleksander','Leœniewski','','£ódzka','Duszniki-Zdrój','15-648','595287556','Aleksander.Leœniewski@poczta.fm','Leœniewski'),	'	,						Grupa Eurocash SA
Bronis³aw	Krawiec	£ukowa	5	2	Metro Group w Polsce	Dzier¿oniów	595490439	Bronis³aw.Krawiec@gazeta.pl	15-463	Krawiec	(2,'Bronis³aw','Krawiec','Metro Group w Polsce','£ukowa','Dzier¿oniów','15-463','595490439','Bronis³aw.Krawiec@gazeta.pl','Krawiec'),	'	,						Metro Group w Polsce
Wac³aw	Górka	£ysogórska	30	2	GK Orange Polska (Telekomunikacja Polska SA)	G³ogów	515478282	Wac³aw.Górka@go2.pl	15-274	Górka	(2,'Wac³aw','Górka','GK Orange Polska (Telekomunikacja Polska SA)','£ysogórska','G³ogów','15-274','515478282','Wac³aw.Górka@go2.pl','Górka'),	'	,						GK Orange Polska (Telekomunikacja Polska SA)
Boles³aw	Janiak	Machnowicka	42	2	Fiat Auto Poland SA	G³uszyca	590494491	Boles³aw.Janiak@yahoo.com	15-677	Janiak	(2,'Boles³aw','Janiak','Fiat Auto Poland SA','Machnowicka','G³uszyca','15-677','590494491','Boles³aw.Janiak@yahoo.com','Janiak'),	'	,						Fiat Auto Poland SA
Ireneusz	Kaczyñski	Magazynowa	158	1		Goerlitz	593301121	Ireneusz.Kaczyñski@hotmail.com	15-355	Kaczyñski	(1,'Ireneusz','Kaczyñski','','Magazynowa','Goerlitz','15-355','593301121','Ireneusz.Kaczyñski@hotmail.com','Kaczyñski'),	'	,						BP Europa SE Oddzia³ w Polsce
Maciej	Bartczak	Mahometañska	176	2	GK Energa SA	Góra	521308533	Maciej.Bartczak@vp.pl	15-465	Bartczak	(2,'Maciej','Bartczak','GK Energa SA','Mahometañska','Góra','15-465','521308533','Maciej.Bartczak@vp.pl','Bartczak'),	'	,						GK Energa SA
Artur	Winiarski	Sucharskiego	77	2	Kompania Wêglowa SA	Gryfów Œl¹ski	502256496	Artur.Winiarski@wp.pl	15-295	Winiarski	(2,'Artur','Winiarski','Kompania Wêglowa SA','Sucharskiego','Gryfów Œl¹ski','15-295','502256496','Artur.Winiarski@wp.pl','Winiarski'),	'	,						Kompania Wêglowa SA
Edmund	Tokarski	Piwnika	184	1		Jawor	588304120	Edmund.Tokarski@poczta.onet.pl	15-886	Tokarski	(1,'Edmund','Tokarski','','Piwnika','Jawor','15-886','588304120','Edmund.Tokarski@poczta.onet.pl','Tokarski'),	'	,						GK Enea SA
Marcin	Gil	Gagarina	141	1		Jelcz-Laskowice	567214435	Marcin.Gil@o2.pl	15-457	Gil	(1,'Marcin','Gil','','Gagarina','Jelcz-Laskowice','15-457','567214435','Marcin.Gil@o2.pl','Gil'),	'	,						Philip Morris International w Polsce
Lech	Panek	Strasza	190	2	Volkswagen Poznañ Sp. z o.o.	Jelenia Góra	568488488	Lech.Panek@interia.pl	15-967	Panek	(2,'Lech','Panek','Volkswagen Poznañ Sp. z o.o.','Strasza','Jelenia Góra','15-967','568488488','Lech.Panek@interia.pl','Panek'),	'	,						Volkswagen Poznañ Sp. z o.o.
Karol	Konopka	Malachitowa	172	1		Kamienna Góra	565122343	Karol.Konopka@op.pl	15-837	Konopka	(1,'Karol','Konopka','','Malachitowa','Kamienna Góra','15-837','565122343','Karol.Konopka@op.pl','Konopka'),	'	,						Orlen Paliwa Sp. z o.o.
Rafa³	Frankowski	Malików	133	1		Karpacz	583491502	Rafa³.Frankowski@tlen.pl	15-225	Frankowski	(1,'Rafa³','Frankowski','','Malików','Karpacz','15-225','583491502','Rafa³.Frankowski@tlen.pl','Frankowski'),	'	,						GK Jastrzêbskiej Spó³ki Wêglowej SA
Arkadiusz	Banasiak	Malinowa	74	2	Lidl Polska Sklepy Spo¿ywcze Sp. z o.o. Sp. k.	K¹ty Wroc³awskie	563348138	Arkadiusz.Banasiak@gmail.com	15-725	Banasiak	(2,'Arkadiusz','Banasiak','Lidl Polska Sklepy Spo¿ywcze Sp. z o.o. Sp. k.','Malinowa','K¹ty Wroc³awskie','15-725','563348138','Arkadiusz.Banasiak@gmail.com','Banasiak'),	'	,						Lidl Polska Sklepy Spo¿ywcze Sp. z o.o. Sp. k.
Leon	Grzyb	Ma³a	153	1		K³odzko	552119198	Leon.Grzyb@poczta.fm	15-314	Grzyb	(1,'Leon','Grzyb','','Ma³a','K³odzko','15-314','552119198','Leon.Grzyb@poczta.fm','Grzyb'),	'	,						Pañstwowe Gospodarstwo Leœne Lasy Pañstwowe
Sylwester	Rakowski	Ma³a Zgoda	177	2	Carrefour w Polsce	Kowary	511222549	Sylwester.Rakowski@gazeta.pl	15-244	Rakowski	(2,'Sylwester','Rakowski','Carrefour w Polsce','Ma³a Zgoda','Kowary','15-244','511222549','Sylwester.Rakowski@gazeta.pl','Rakowski'),	'	,						Carrefour w Polsce
Lucjan	Kuœ	Ma³opolska	145	2	Shell Polska Sp. z o.o.	Kudowa-Zdrój	512268226	Lucjan.Kuœ@go2.pl	15-720	Kuœ	(2,'Lucjan','Kuœ','Shell Polska Sp. z o.o.','Ma³opolska','Kudowa-Zdrój','15-720','512268226','Lucjan.Kuœ@go2.pl','Kuœ'),	'	,						Shell Polska Sp. z o.o.
Julian	Dudziñski	Raciborskiego	83	2	GK Polkomtel SA	L¹dek-Zdrój	546387380	Julian.Dudziñski@yahoo.com	15-610	Dudziñski	(2,'Julian','Dudziñski','GK Polkomtel SA','Raciborskiego','L¹dek-Zdrój','15-610','546387380','Julian.Dudziñski@yahoo.com','Dudziñski'),	'	,						GK Polkomtel SA
Wiktor	Zaremba	Konopnickiej	79	1		Legnica	557342445	Wiktor.Zaremba@hotmail.com	15-457	Zaremba	(1,'Wiktor','Zaremba','','Konopnickiej','Legnica','15-457','557342445','Wiktor.Zaremba@hotmail.com','Zaremba'),	'	,						GK Grupy Azoty SA
Romuald	Skowron	Krzy¿anowskiej	22	1		Lubañ	512268229	Romuald.Skowron@vp.pl	15-931	Skowron	(1,'Romuald','Skowron','','Krzy¿anowskiej','Lubañ','15-931','512268229','Romuald.Skowron@vp.pl','Skowron'),	'	,						Polska Telefonia Cyfrowa SA (T-Mobile)
Bernard	Fija³kowski	Opieliñskiej	139	2	Polskie Sieci Elektroenergetyczne SA	Lubawka	555244193	Bernard.Fija³kowski@wp.pl	15-535	Fija³kowski	(2,'Bernard','Fija³kowski','Polskie Sieci Elektroenergetyczne SA','Opieliñskiej','Lubawka','15-535','555244193','Bernard.Fija³kowski@wp.pl','Fija³kowski'),	'	,						Polskie Sieci Elektroenergetyczne SA
Ludwik	Dobosz	Sk³odowskiej-Curie	60	2	GK Pelion SA	Lubin	569146177	Ludwik.Dobosz@poczta.onet.pl	15-457	Dobosz	(2,'Ludwik','Dobosz','GK Pelion SA','Sk³odowskiej-Curie','Lubin','15-457','569146177','Ludwik.Dobosz@poczta.onet.pl','Dobosz'),	'	,						GK Pelion SA
Feliks	Witczak	Marmurowa	68	1		Lwówek Œl¹ski	535181432	Feliks.Witczak@o2.pl	15-914	Witczak	(1,'Feliks','Witczak','','Marmurowa','Lwówek Œl¹ski','15-914','535181432','Feliks.Witczak@o2.pl','Witczak'),	'	,						Auchan Polska Sp. z o.o.
Alfred	Nawrot	Pi³sudskiego	194	2	Samsung Electronics Polska Sp. z o.o.	Milicz	564333149	Alfred.Nawrot@interia.pl	15-592	Nawrot	(2,'Alfred','Nawrot','Samsung Electronics Polska Sp. z o.o.','Pi³sudskiego','Milicz','15-592','564333149','Alfred.Nawrot@interia.pl','Nawrot'),	'	,						Samsung Electronics Polska Sp. z o.o.
Alojzy	Królikowski	Marsza³kowska	94	2	GK Synthos SA	Nowa Ruda	505284459	Alojzy.Królikowski@op.pl	15-354	Królikowski	(2,'Alojzy','Królikowski','GK Synthos SA','Marsza³kowska','Nowa Ruda','15-354','505284459','Alojzy.Królikowski@op.pl','Królikowski'),	'	,						GK Synthos SA
Przemys³aw	M³ynarczyk	Mas³owska	120	2	GK Budimex SA	Oborniki Œl¹skie	558373462	Przemys³aw.M³ynarczyk@tlen.pl	15-682	M³ynarczyk	(2,'Przemys³aw','M³ynarczyk','GK Budimex SA','Mas³owska','Oborniki Œl¹skie','15-682','558373462','Przemys³aw.M³ynarczyk@tlen.pl','M³ynarczyk'),	'	,						GK Budimex SA
Cezary	Sienkiewicz	Maœlana	78	1		Oleœnica	527385563	Cezary.Sienkiewicz@gmail.com	15-976	Sienkiewicz	(1,'Cezary','Sienkiewicz','','Maœlana','Oleœnica','15-976','527385563','Cezary.Sienkiewicz@gmail.com','Sienkiewicz'),	'	,						Imperial Tobacco Polska SA
Daniel	Fr¹czek	Mazurska	93	1		O³awa	530356549	Daniel.Fr¹czek@poczta.fm	15-458	Fr¹czek	(1,'Daniel','Fr¹czek','','Mazurska','O³awa','15-458','530356549','Daniel.Fr¹czek@poczta.fm','Fr¹czek'),	'	,						GK Neuca SA
Miko³aj	S³owik	M¹chocka	21	2	GK Asseco Poland SA	Piechowice	560407184	Miko³aj.S³owik@gazeta.pl	15-437	S³owik	(2,'Miko³aj','S³owik','GK Asseco Poland SA','M¹chocka','Piechowice','15-437','560407184','Miko³aj.S³owik@gazeta.pl','S³owik'),	'	,						GK Asseco Poland SA
Ignacy	Fr¹ckowiak	Mechaników	162	1		Pieñsk	515239213	Ignacy.Fr¹ckowiak@go2.pl	15-807	Fr¹ckowiak	(1,'Ignacy','Fr¹ckowiak','','Mechaników','Pieñsk','15-807','515239213','Ignacy.Fr¹ckowiak@go2.pl','Fr¹ckowiak'),	'	,						Statoil Fuel & Retail Polska Sp. z o.o.
Les³aw	Czy¿ewski	Miechowska	82	1		Pieszyce	585331192	Les³aw.Czy¿ewski@yahoo.com	15-408	Czy¿ewski	(1,'Les³aw','Czy¿ewski','','Miechowska','Pieszyce','15-408','585331192','Les³aw.Czy¿ewski@yahoo.com','Czy¿ewski'),	'	,						LG Electronics Wroc³aw Sp. z o.o.
